Using the result of 'hadoop classpath' to augment the Hadoop classpath: /usr/local/hadoop/etc/hadoop:/usr/local/hadoop/share/hadoop/common/lib/*:/usr/local/hadoop/share/hadoop/common/*:/usr/local/hadoop/share/hadoop/hdfs:/usr/local/hadoop/share/hadoop/hdfs/lib/*:/usr/local/hadoop/share/hadoop/hdfs/*:/usr/local/hadoop/share/hadoop/yarn:/usr/local/hadoop/share/hadoop/yarn/lib/*:/usr/local/hadoop/share/hadoop/yarn/*:/usr/local/hadoop/share/hadoop/mapreduce/lib/*:/usr/local/hadoop/share/hadoop/mapreduce/*:/usr/local/hadoop/contrib/capacity-scheduler/*.jar
Cluster configuration: Standalone cluster with JobManager at localhost/127.0.0.1:6123
Using address localhost:6123 to connect to JobManager.
JobManager web interface address http://localhost:8081
Starting execution of program
Submitting job with JobID: 75d4cb4c473ffb4dbc1124ebe1973139. Waiting for job completion.
Connected to JobManager at Actor[akka.tcp://flink@localhost:6123/user/jobmanager#1284012604] with leader session id 00000000-0000-0000-0000-000000000000.
05/22/2018 13:52:40	Job execution switched to status RUNNING.
05/22/2018 13:52:40	CHAIN DataSource (at main(TopThreeAirports.java:24) (org.apache.flink.api.java.io.TupleCsvInputFormat)) -> Combine (Distinct at main(TopThreeAirports.java:28))(1/1) switched to SCHEDULED 
05/22/2018 13:52:40	CHAIN DataSource (at main(TopThreeAirports.java:24) (org.apache.flink.api.java.io.TupleCsvInputFormat)) -> Combine (Distinct at main(TopThreeAirports.java:28))(1/1) switched to DEPLOYING 
05/22/2018 13:52:40	CHAIN DataSource (at main(TopThreeAirports.java:24) (org.apache.flink.api.java.io.TupleCsvInputFormat)) -> Combine (Distinct at main(TopThreeAirports.java:28))(1/1) switched to RUNNING 
05/22/2018 13:52:40	Reduce (Distinct at main(TopThreeAirports.java:28))(1/1) switched to SCHEDULED 
05/22/2018 13:52:40	Reduce (Distinct at main(TopThreeAirports.java:28))(1/1) switched to DEPLOYING 
05/22/2018 13:52:40	Reduce (Distinct at main(TopThreeAirports.java:28))(1/1) switched to RUNNING 
05/22/2018 13:52:40	CHAIN DataSource (at main(TopThreeAirports.java:24) (org.apache.flink.api.java.io.TupleCsvInputFormat)) -> Combine (Distinct at main(TopThreeAirports.java:28))(1/1) switched to FINISHED 
05/22/2018 13:52:41	DataSink (collect())(1/1) switched to SCHEDULED 
05/22/2018 13:52:41	DataSink (collect())(1/1) switched to DEPLOYING 
05/22/2018 13:52:41	DataSink (collect())(1/1) switched to RUNNING 
05/22/2018 13:52:41	Reduce (Distinct at main(TopThreeAirports.java:28))(1/1) switched to FINISHED 
05/22/2018 13:52:41	DataSink (collect())(1/1) switched to FINISHED 
05/22/2018 13:52:41	Job execution switched to status FINISHED.
("Baton Rouge Metropolitan, Ryan ",Baton Rouge)
(Port Heiden,Port Heiden,AK)
(Port Isabel-Cameron County,Port Isabel,TX)
(Port Lions,Port Lions,AK)
(Port Meadville,Meadville,PA)
(Port Protection SPB,Port Protection,AK)
(Portage County,Ravenna,OH)
(Portage Creek,Portage Creek,AK)
(Portage Municipal,Portage,WI)
(Portales Municipal,Portales,NM)
(Porter County Municipal,Valparaiso,IN)
(Porterville Municipal,Porterville,CA)
(Portland Downtown Heliport,Portland,OR)
(Portland International Jetport,Portland,ME)
(Portland Intl,Portland,OR)
(Portland Municipal,Portland,IN)
(Portland Municipal,Portland,TN)
(Portland-Hillsboro,Hillsboro (Portland),OR)
(Portland-Mulino,Mulino (Portland),OR)
(Portland-Troutdale,Portland,OR)
(Posey ,Haleyville,AL)
(Post Mills,Post Mills,VT)
(Post-Garza County Municipal,Post,TX)
(Potsdam Muni-Damon ,Potsdam,NY)
(Pottstown Limerick,Pottstown,PA)
(Pottstown Muni,Pottstown,PA)
(Powell Muni,Powell,WY)
(Prachinburi,NA,NA)
(Prague Municipal,Prague,OK)
(Prairie Du Chien Municipal,Prairie Du Chien,WI)
(Pratt Industrial,Pratt,KS)
(Prentiss-Jefferson Davis County,Prentiss,MS)
(Presho Municipal ,Presho,SD)
(Presque Isle County,Rogers City,MI)
(Preston,Preston,ID)
(Price County,Phillips,WI)
(Priest River Muni,Priest River,ID)
(Princeton,Princeton,NJ)
(Princeton Municipal,Princeton,ME)
(Princeton Municipal,Princeton,MN)
(Princeton-Caldwell County,Princeton,KY)
(Princeville,Hanalei,HI)
(Prineville,Prineville,OR)
(Prospect Creek,Prospect Creek,AK)
(Prosser,Prosser,WA)
(Provincetown Municipal,Provincetown,MA)
(Provo Muni,Provo,UT)
(Pru ,Ritzville,WA)
(Pryor  Regional,Decatur,AL)
(Pueblo Memorial,Pueblo,CO)
(Pullman/Moscow Regional,"Pullman/Moscow,ID")
(Punxsutawney Muni,Punxsutawney,PA)
(Purdue University,Lafayette,IN)
(Put In Bay,Put In Bay,OH)
(Putnam County,Greencastle,IN)
(Putnam County,Ottawa,OH)
(Quad City,Moline,IL)
(Quakertown,Quakertown,PA)
(Quanah Municipal,Quanah,TX)
(Quentin Aanenson ,Luverne,MN)
(Questa Municipal Nr 2,Questa,NM)
(Quillayute,Forks,WA)
(Quincy Municipal,Quincy,FL)
(Quincy Municipal-Baldwin ,Quincy,IL)
(Quitman-Brooks County,Quitman,GA)
(Quonset State,North Kingstown,RI)
(Rafael Hernandez,Aguadilla,PR)
(Raleigh Cty Memorial,Beckley,WV)
(Raleigh-Durham International,Raleigh,NC)
(Ralph M Calhoun Memorial,Tanana,AK)
(Ralph Wenz ,Pinedale,WY)
(Ralph Wien Memorial,Kotzebue,AK)
(Ramona,Ramona,CA)
(Rampart,Rampart,AK)
(Rancho Murieta,Rancho Murieta,CA)
(Randall ,Middletown,NY)
(Randolph County,Winchester,IN)
(Rangeley Municipal,Rangeley,ME)
(Rangely,Rangely,CO)
(Rapid City Regional,Rapid City,SD)
(Raton Municipal/Crews ,Raton,NM)
(Ravalli County,Hamilton,MT)
(Rawlins Muni,Rawlins,WY)
(Red Bluff Municipal,Red Bluff,CA)
(Red Cloud Municipal,Red Cloud,NE)
(Red Devil,Red Devil,AK)
(Red Lion,Vincentown,NJ)
(Red Lodge,Red Lodge,MT)
(Red Oak Municipal,Red Oak,IA)
(Red River,Coushatta,LA)
(Red Wing Municipal,Red Wing,MN)
(Redbird,Dallas,TX)
(Redding Municipal,Redding,CA)
(Redfield Municipal,Redfield,SD)
(Redlands Municipal,Redlands,CA)
(Redwood Falls Muni,Redwood Falls,MN)
(Reedley Municipal,Reedley,CA)
(Reedsburg Municipal,Reedsburg,WI)
(Refugio-Rooke ,Refugio,TX)
(Reid-Hillview of Santa Clara Co,San Jose,CA)
(Reidsville,Reidsville,GA)
(Renner Field/Goodland Municipal,Goodland,KS)
(Reno/Stead,Reno,NV)
(Reno/Tahoe International,Reno,NV)
(Rensselaer Air Park,Troy,NY)
(Renton Municipal,Renton,WA)
(Republic,Farmingdale,NY)
(Reserve,Reserve,NM)
(Rexburg-Madison County,Rexburg,ID)
(Rhinelander-Oneida County,Rhinelander,WI)
(Rialto Municipal ,Rialto,CA)
(Rice Lake Regional-Carl's ,Rice Lake,WI)
(Richard Arthur ,Fayette,AL)
(Richard B Russell,Rome,GA)
(Richard B. Helgeson,Two Harbors,MN)
(Richard Downing,Coshocton,OH)
(Richard I Bong,Superior,WI)
(Richfield Muni,Richfield,UT)
(Richland,Richland,WA)
(Richland,Richland Center,WI)
(Richmond International,Richmond,VA)
(Richmond Municipal,Richmond,IN)
(Richton-Perry County,Richton,MS)
(Rickenbacker International ,Columbus,OH)
(Riddick ,Philipsburg,MT)
(Ridgeland,Ridgeland,SC)
(Rio Linda,Rio Linda,CA)
(Rio Vista Municipal,Rio Vista,CA)
(Ripley ,Ripley,MS)
(Riverside Municipal,Riverside,CA)
(Riverton Regional,Riverton,WY)
(Roanoke Municipal,Roanoke,AL)
(Roanoke Regional/ Woodrum ,Roanoke,VA)
(Robbins ,Oneonta,AL)
(Roben-Hood,Big Rapids,MI)
(Robert E. Arraj ,Kimball,NE)
(Robert Gray AAF,Killeen,TX)
(Robert J. Miller Airpark,Toms River,NJ)
(Robert S Kerr,Poteau,OK)
(Robert Sibley,Selmer,TN)
(Robert(Bob) Curtis Memorial,Noorvik,AK)
(Roberts ,Redmond,OR)
(Robertson ,Langdon,ND)
(Robertson ,Plainville,CT)
(Robinson Municipal,Robinson,IL)
(Robstown-Nueces County,Robstown,TX)
(Rochelle Municipal,Rochelle,IL)
(Rochester International,Rochester,MN)
(Rock County,Janesville,WI)
(Rock Hill Municipal/Bryant ,Rock Hill,SC)
(Rock Springs-Sweetwater County,Rock Springs,WY)
(Rockingham County NC Shiloh,Reidsville,NC)
(Rockingham-Hamlet,Rockingham,NC)
(Rockwall Municipal,Rockwall,TX)
(Rockwell City Municipal,Rockwell City,IA)
(Rockwood Municipal,Rockwood,TN)
(Rocky Mount Wilson,Rocky Mount,NC)
(Rogers ,Chester,CA)
(Rogers Municipal-Carter ,Rogers,AR)
(Rogue Valley International,Medford,OR)
(Rohnerville,Fortuna,CA)
(Rolla Municipal,Rolla,ND)
(Rolla National,Rolla/Vichy,MO)
(Romeo,Romeo,MI)
(Ronald Reagan Washington National,Arlington,VA)
(Ronan,Ronan,MT)
(Roosevelt Memorial,Warm Springs,GA)
(Roosevelt Municipal,Roosevelt,UT)
(Rosalia Municipal,Rosalia,WA)
(Roscoe Turner ,Corinth,MS)
(Roscommon County,Houghton Lake,MI)
(Roseau Municipal,Roseau,MN)
(Roseburg Regional,Roseburg,OR)
(Rosecrans Memorial,St Joseph,MO)
(Ross County,Chillicothe,OH)
(Rostraver,Monongahela,PA)
(Roswell Industrial Air Center,Roswell,NM)
(Rota International,Rota Island,CQ)
(Round Valley,Covelo,CA)
(Roundup,Roundup,MT)
(Rountree ,Hartselle,AL)
(Rowan County,Salisbury,NC)
(Royalton,Gasport,NY)
(Ruby,Ruby,AK)
(Rugby Municipal,Rugby,ND)
(Ruleville-Drew,Drew,MS)
(Rush City Regional,Rush City,MN)
(Rusk County,Henderson,TX)
(Rusk County,Ladysmith,WI)
(Russell County,Jamestown,KY)
(Russell Municipal,Russell,KS)
(Russellville Municipal,Russellville,AL)
(Russellville Municipal,Russellville,AR)
(Russellville-Logan County,Russellville,KY)
(Russian Mission,Russian Mission,AK)
(Ruston Regional,Ruston,LA)
(Rusty Allen ,Lago Vista,TX)
(Ruth,Ruth,CA)
(Rutherford County-Marchman ,Rutherfordton,NC)
(Rutland State,Rutland,VT)
(Ryan ,Tucson,AZ)
(Sabetha Municipal,Sabetha,KS)
(Sac City Municipal,Sac City,IA)
(Sacramento Executive,Sacramento,CA)
(Sacramento International,Sacramento,CA)
(Sacramento Mather,Sacramento,CA)
(Safford Regional,Safford,AZ)
(Saipan International,Obyan,CQ)
(Salem Memorial,Salem,MO)
(Salem Municipal,Salem,IN)
(Salem-Leckrone,Salem,IL)
(Salina Municipal,Salina,KS)
(Salinas Municipal,Salinas,CA)
(Saline County/Watts ,Benton,AR)
(Salisbury-Ocean City: Wicomico Regional,Salisbury,MD)
(Sallisaw Municipal,Sallisaw,OK)
(Salt Lake City Intl,Salt Lake City,UT)
(Salt Lake City Municipal 2,Salt Lake City,UT)
(Saluda County,Saluda,SC)
(Sampson County,Clinton,NC)
(Samuels ,Bardstown,KY)
(San Angelo Regional /Mathis ,San Angelo,TX)
(San Antonio International,San Antonio,TX)
(San Bernardino International,San Bernardino,CA)
(San Carlos,San Carlos,CA)
(San Carlos Apache,Globe,AZ)
(San Diego International-Lindbergh ,San Diego,CA)
(San Francisco International,San Francisco,CA)
(San Jose International,San Jose,CA)
(San Juan Pueblo,Espanola,NM)
(San Luis Obispo Co-McChesney ,San Luis Obispo,CA)
(San Luis Valley Regional/Bergman ,Alamosa,CO)
(San Marcos Municipal,San Marcos,TX)
(Sand Point Municipal,Sand Point,AK)
(Sanderson ,Shelton,WA)
(Sandpoint,Sandpoint,ID)
(Sandusky City,Sandusky,MI)
(Sandusky Co,Fremont,OH)
(Sanford Regional,Sanford,ME)
(Sanford-Lee County Regional,Sanford,NC)
(Sanger,Chicago/Monee,IL)
(Santa Barbara Municipal,Santa Barbara,CA)
(Santa Fe Municipal,Santa Fe,NM)
(Santa Maria Pub/Capt G Allan Hancock ,Santa Maria,CA)
(Santa Monica Municipal,Santa Monica,CA)
(Santa Paula,Santa Paula,CA)
(Santa Rosa Municipal,Santa Rosa,NM)
(Santa Ynez,Santa Ynez,CA)
(Sarasota Bradenton International,Sarasota,FL)
(Saratoga Cty,Saratoga Springs,NY)
(Sargent Municipal,Sargent,NE)
(Satanta Municipal,Satanta,KS)
(Sauk - Prairie,Prairie Du Sac,WI)
(Savannah Hardin County,Savannah,TN)
(Savannah International,Savannah,GA)
(Savoonga,Savoonga,AK)
(Sawyer,Gwinn,MI)
(Sawyer County,Hayward,WI)
(Sayre Municipal,Sayre,OK)
(Scammon Bay,Scammon Bay,AK)
(Scappoose Industrial Airpark,Scappoose,OR)
(Schaumburg,Chicago/Schaumburg,IL)
(Schaumburg Heliport,Chicago/Schaumburg,IL)
(Schenck ,Clarinda,IA)
(Schenectady Cty,Schenectady,NY)
(Schoolcraft County,Manistique,MI)
(Schroon Lake,Schroon Lake,NY)
(Schuylkill Cty/Joe Zerbey,Pottsville,PA)
(Scobey,Scobey,MT)
(Scott ,Mangum,OK)
(Scott ,Parsons,TN)
(Scott AFB/MidAmerica ,Belleville/St. Louis,IL)
(Scott City Municipal,Scott City,KS)
(Scott Municipal,Oneida,TN)
(Scott Valley,Fort Jones,CA)
(Scotts Bluff County,Scottsbluff,NE)
(Scottsboro Municipal,Scottsboro,AL)
(Scottsdale,Scottsdale,AZ)
(Scribner State,Scribner,NE)
(Searcy Municipal,Searcy,AR)
(Searle ,Ogallala,NE)
(Seaside Municipal,Seaside,OR)
(Seattle-Tacoma Intl,Seattle,WA)
(Sebastian Municipal,Sebastian,FL)
(Sebring  And Industrial Park,Sebring,FL)
(Sedalia Memorial,Sedalia,MO)
(Sedona,Sedona,AZ)
(Selawik,Selawik,AK)
(Seldovia,Seldovia,AK)
(Seminole Municipal,Seminole,OK)
(Seneca County,Tiffin,OH)
(Sequoia ,Visalia,CA)
(Seward,Seward,AK)
(Seward Municipal,Seward,NE)
(Seymour Municipal,Seymour,TX)
(Shafter-Minter ,Shafter,CA)
(Shageluk,Shageluk,AK)
(Shaktoolik,Shaktoolik,AK)
(Shaltz ,Colby,KS)
(Sharp County Regional,Ash Flat,AR)
(Shawano Municipal,Shawano,WI)
(Shawnee Municipal,Shawnee,OK)
(Sheboygan County Memorial,Sheboygan,WI)
(Shelby,Shelby,MT)
(Shelby County,Alabaster,AL)
(Shelby County,Shelbyville,IL)
(Shelby Municipal,Shelby,NC)
(Shelbyville Municipal,Shelbyville,IN)
(Sheldon Municipal,Sheldon,IA)
(Sheldon Point,Sheldon Point,AK)
(Shell Lake Municipal,Shell Lake,WI)
(Shelter Cove,Shelter Cove,CA)
(Shenandoah Municipal,Shenandoah,IA)
(Shenandoah Valley Regional,Staunton/Harrisonburg,VA)
(Sheppard AFB/Wichita Falls Municipal,Wichita Falls,TX)
(Sher-Wood,Plentywood,MT)
(Sheridan,Sheridan,IN)
(Sheridan County,Sheridan,WY)
(Sheridan-Grant County Regional,Sheridan,AR)
(Shingletown,Shingletown,CA)
(Shiprock Airstrip,Shiprock,NM)
(Shishmaref,Shishmaref,AK)
(Shively ,Saratoga,WY)
(Shoshone County,Kellogg,ID)
(Show Low Municipal,Show Low,AZ)
(Shreveport Downtown,Shreveport,LA)
(Shreveport Regional,Shreveport,LA)
(Shungnak,Shungnak,AK)
(Sidney Muni,Sidney,NY)
(Sidney Municipal,Sidney,NE)
(Sidney Municipal,Sidney,OH)
(Sidney-Richland Municipal,Sidney,MT)
(Sierra Blanca Regional,Ruidoso,NM)
(Sikeston Memorial Municipal,Sikeston,MO)
(Siler City Municipal,Siler City,NC)
(Siletz Bay State,Siletz Bay (Gleneden Beach),OR)
(Silver Bay Municipal,Silver Bay,MN)
(Silver Springs,Silver Springs,NV)
(Simsbury Tri-Town,Simsbury,CT)
(Sinton-San Patricio County,Sinton,TX)
(Sioux Gateway ,Sioux City,IA)
(Siskiyou County,Montague,CA)
(Sisseton Municipal,Sisseton,SD)
(Sitka,Sitka,AK)
(Sitka SPB,Sitka,AK)
(Skagit Regional/Bay View,Burlington/Mount Vernon,WA)
(Skagway,Skagway,AK)
(Skagway SPB,Skagway,AK)
(Skaneateles Aero Drome,Skaneateles,NY)
(Skiatook Municipal,Skiatook,OK)
(Skwentna,Skwentna,AK)
(Sky Acres,Millbrook,NY)
(Sky Harbor,Duluth,MN)
(Sky Manor ,Pittstown,NJ)
(Sky Park,Red Hook,NY)
(Skyhaven,Rochester,NH)
(Skyhaven,Warrensburg,MO)
(Slaton Municipal,Slaton,TX)
(Sleetmute,Sleetmute,AK)
(Slidell,Slidell,LA)
(Sloulin Field International,Williston,ND)
(Smith ,Fort Wayne,IN)
(Smith ,Siloam Springs,AR)
(Smith Center Municipal,Smith Center,KS)
(Smith Reynolds,Winston-Salem,NC)
(Smithville Municipal,Smithville,TN)
(Smithville Municipal,Smithville,TX)
(Smyrna,Smyrna,TN)
(Snohomish County ,Everett,WA)
(Socorro Municipal,Socorro,NM)
(Solberg-Hunterdon,Readington,NJ)
(Soldotna,Soldotna,AK)
(Somerset ,Somerville,NJ)
(Somerset County,Somerset,PA)
(Somerset-Pulaski County,Somerset,KY)
(Sonoma Co,Santa Rosa,CA)
(South Albany,South Bethlehem,NY)
(South Arkansas Regional At Goodwin ,El Dorado,AR)
(South Bend Regional,South Bend,IN)
(South Big Horn County,Greybull,WY)
(South Capitol Street,Washington,DC)
(South County  of Santa Clara Co,San Martin,CA)
(South Haven Municipal,South Haven,MI)
(South Jersey Reg,Mount Holly,NJ)
(South Lafourche,Galliano,LA)
(South Naknek 2,South Naknek,AK)
(South St.Paul Municipal,South St Paul,MN)
(Southbridge Municipal,Southbridge,MA)
(Southeast Texas Regional,Beaumont/Port Arthur,TX)
(Souther ,Americus,GA)
(Southern California Logistic ,Victorville,CA)
(Southern Illinois ,Carbondale,IL)
(Southland ,Sulphur,LA)
(Southwest Florida International,Ft. Myers,FL)
(Southwest Georgia Regional,Albany,GA)
(Southwest Michigan Regional,Benton Harbor,MI)
(Space Cost Regional,Titusville,FL)
(Spadaro ,East Moriches,NY)
(Spanish Fork-Springville,Spanish Fork,UT)
(Sparta,Sparta,MI)
(Sparta Community-Hunter ,Sparta,IL)
(Sparta/Fort McCoy,Sparta,WI)
(Spartanburg Downtown Memorial,Spartanburg,SC)
(Spearman Municipal,Spearman,TX)
(Spencer Municipal,Spencer,IA)
(Spinks,Fort Worth,TX)
(Spirit of St Louis,St Louis,MO)
(Spitfire Aerodrome,Pedrictown,NJ)
(Spokane Intl,Spokane,WA)
(Sportsman Airpark,Newberg,OR)
(Springdale Municipal,Springdale,AR)
(Springer Municipal,Springer,NM)
(Springerville Babbitt ,Springerville,AZ)
(Springfield Municipal,Springfield,MN)
(Springfield Municipal,Springfield,SD)
(Springfield State/Hartness,Springfield,VT)
(Springfield-Beckley Municipal,Springfield,OH)
(Springfield-Branson Regional,Springfield,MO)
(Springfield-Robertson County,Springfield,TN)
(Springhill,Springhill,LA)
(St Charles,St Charles,MO)
(St Charles County Smart ,St Charles,MO)
(St Clair County,Pell City,AL)
(St Clair County International,Port Huron,MI)
(St Clair Memorial,St Clair,MO)
(St Cloud Regional,St Cloud,MN)
(St Elmo,St Elmo,AL)
(St George,St George,SC)
(St George Muni,St George,UT)
(St James Municipal,St James,MN)
(St Johns Industrial Air Park,St Johns,AZ)
(St Landry Parish - Ahart ,Opelousas,LA)
(St Louis-Metro East,Troy/Marine/St. Louis,IL)
(St Maries Municipal,St Maries,ID)
(St Marys,St Marys,GA)
(St Marys Muni,St Marys,PA)
(St Paul Downtown Holman ,St Paul,MN)
(St. Augustine,St. Augustine,FL)
(St. George,St. George,AK)
(St. John the Baptist Parish,Reserve,LA)
(St. Louis Downtown,Cahokia/St. Louis,IL)
(St. Louis Regional,Alton/St. Louis,IL)
(St. Lucie County International,Ft. Pierce,FL)
(St. Mary's,St. Mary's,AK)
(St. Michael,St. Michael,AK)
(St. Paul,St. Paul,AK)
(St. Petersburg-Clearwater International,St. Petersburg,FL)
(Stan Stamper Municipal,Hugo,OK)
(Standing Rock,Fort Yates,ND)
(Stanford,Stanford,MT)
(Stanley Municipal,Stanley,ND)
(Stanly County,Albemarle,NC)
(Stanton,Stanton,KY)
(Stanton County Municipal,Johnson,KS)
(Staples Municipal,Staples,MN)
(Starke County,Knox,IN)
(Statesboro Municipal,Statesboro,GA)
(Statesville Municipal,Statesville,NC)
(Steamboat Springs,Steamboat Springs,CO)
(Stebbins,Stebbins,AK)
(Stennis International,Bay St Louis,MS)
(Steuben County-Tri State,Angola,IN)
(Stevens ,Pagosa Springs,CO)
(Stevens Point Municipal,Stevens Point,WI)
(Stevens Village,Stevens Village,AK)
(Stevensville,Stevensville,MT)
(Stewart,Newburgh,NY)
(Stigler Municipal,Stigler,OK)
(Stillwater Regional,Stillwater,OK)
(Stinson Municipal,San Antonio,TX)
(Stockton Metro,Stockton,CA)
(Stonewall County,Aspermont,TX)
(Stonington,Stonington,ME)
(Stony River 2,Stony River,AK)
(Storm Lake Municipal,Storm Lake,IA)
(Stormville,Stormville,NY)
(Strother ,Winfield/Arkansas City,KS)
(Stroud Municipal,Stroud,OK)
(Stroudsburg-Pocono,East Stroudsburg,PA)
(Stuart Powell ,Danville,KY)
(Stuart-Atkinson Municipal,Atkinson,NE)
(Sturgis Municipal,Sturgis,KY)
(Sturgis Municipal,Sturgis,SD)
(Stuttgart Municipal,Stuttgart,AR)
(Stuyahok,New Stuyahok,AK)
(Suffolk Municipal,Suffolk,VA)
(Sugar Land Municipal/Hull ,Houston,TX)
(Sugarloaf Regional,Carrabasset,ME)
(Sullivan County,Sullivan,IN)
(Sullivan Cty Intl,Monticello,NY)
(Sullivan Regional,Sullivan,MO)
(Sulphur Municipal,Sulphur,OK)
(Sulphur Springs Municipal,Sulphur Springs,TX)
(Summersville,Summersville,WV)
(Summerville,Summerville,SC)
(Summit Airpark,Middletown,DE)
(Sumner County Regional,Gallatin,TN)
(Sumter Municipal,Sumter,SC)
(Sunnyside Municipal,Sunnyside,WA)
(Sunriver,Sunriver,OR)
(Superior Municipal,Superior,NE)
(Susanville Municipal,Susanville,CA)
(Sussex ,Sussex,NJ)
(Sussex Cty Arpt,Georgetown,DE)
(Sutter County,Yuba City,CA)
(Suwannee County,Live Oak,FL)
(Sylvester,Sylvester,GA)
(Syracuse-Hamilton County Municipal,Syracuse,KS)
(Syracuse-Hancock Intl,Syracuse,NY)
(TSTC-Waco,Waco,TX)
(Tacoma Narrows,Tacoma,WA)
(Taft-Kern County,Taft,CA)
(Tahlequah Municipal,Tahlequah,OK)
(Takotna,Takotna,AK)
(Talihina Municipal,Talihina,OK)
(Talkeetna,Talkeetna,AK)
(Talladega Municipal,Talladega,AL)
(Tallahassee Regional,Tallahassee,FL)
(Tampa International ,Tampa,FL)
(Tangier Island,Tangier,VA)
(Taos Municipal,Taos,NM)
(Tatitlek,Tatitlek,AK)
(Taunton Municipal,Taunton,MA)
(Taylor,Taylor,AZ)
(Taylor County,Cambellsville,KY)
(Taylor County ,Medford,WI)
(Taylor Municipal,Taylor,TX)
(Taylorville Municipal,Taylorville,IL)
(Tazewell County,Richlands,VA)
(Tecumseh Municipal,Tecumseh,NE)
(Ted Stevens Anchorage International,Anchorage,AK)
(Tehachapi Municipal,Tehachapi,CA)
(Telfair-Wheeler,McRae,GA)
(Telida,Telida,AK)
(Teller,Teller,AK)
(Telluride Regional,Telluride,CO)
(Temple Bar,Temple Bar,AZ)
(Tenakee SPB,Tenakee Springs,AK)
(Terre Haute International-Hulman ,Terre Haute,IN)
(Terrell Municipal,Terrell,TX)
(Terry,Terry,MT)
(Terry County,Brownfield,TX)
(Teterboro,Teterboro,NJ)
(Tetlin,Tetlin,AK)
(Texarkana Regional-Webb ,Texarkana,AR)
(Theodore F Green State,Providence,RI)
(Thibodaux Municipal,Thibodaux,LA)
(Thief River Falls Regional,Thief River Falls,MN)
(Thigpen ,Bay Springs,MS)
(Thomas C Russell ,Alexander City,AL)
(Thomas County ,Thedford,NE)
(Thomas Municipal,Thomas,OK)
(Thomas P Stafford,Weatherford,OK)
(Thomaston-Upton County,Thomaston,GA)
(Thomasville Municipal,Thomasville,GA)
(Thompson Falls,Thompson Falls,MT)
(Thompson-Robbins,Helena-West Helena,AR)
(Thomson-McDuffie County,Thomson,GA)
(Thorne Bay,Thorne Bay,AK)
(Three Forks,Three Forks,MT)
(Three Rivers Municipal,Three Rivers,MI)
(Ticonderoga Muni,Ticonderoga,NY)
(Tillamook,Tillamook,OR)
(Tillitt ,Forsyth,MT)
(Timberon ,Timberon,NM)
(Tinian International Airport,NA,NA)
(Tioga Municipal,Tioga,ND)
(Tipton ,Odenton,MD)
(Tishomingo Airpark,Tishomingo,OK)
(Tishomingo County,Belmont,MS)
(Titusville,Titusville,PA)
(Todd Field ,Long Prairie,MN)
(Togiak Village,Togiak,AK)
(Tok Junction,Tok,AK)
(Toksook Bay,Toksook Bay,AK)
(Toledo Express,Toledo,OH)
(Toledo Metcalf,Toledo,OH)
(Toledo Suburban,Lambertville,MI)
(Toledo-Winlock Ed Carlson Memorial ,Toledo,WA)
(Tom B David ,Calhoun,GA)
(Tomahawk Regional,Tomahawk,WI)
(Tompkins Cty ,Ithaca,NY)
(Tompkinsville-Monroe County,Tompkinsville,KY)
(Tonopah,Tonopah,NV)
(Tooele Valley,Tooele,UT)
(Torrington Muni,Torrington,WY)
(Tower Municipal,Tower,MN)
(Townsend,Townsend,MT)
(Tracy Municipal,Tracy,CA)
(Tracy Municipal,Tracy,MN)
(Trego Wakeeney ,Wakeeney,KS)
(Trent Lott International,Pascagoula,MS)
(Trenton Municipal,Trenton,MO)
(Trenton-Mercer County ,Trenton,NJ)
(Trenton-Robbinsville,Robbinsville,NJ)
(Tri City,Parsons,KS)
(Tri-Cities,Pasco,WA)
(Tri-Cities ,Endicott,NY)
(Tri-Cities Regional,Bristol,TN)
(Tri-County,Ahoskie,NC)
(Tri-County,Bonifay,FL)
(Tri-County,Erie,CO)
(Tri-State/Walker-Long ,Huntington,WV)
(Tri-Township ,Savanna,IL)
(Tribune Municipal,Tribune,KS)
(Trident Basin,Kodiak,AK)
(Trinca,Andover,NJ)
(Trinity Center,Trinity Center,CA)
(Trona,Trona,CA)
(Troy Municipal,Troy,AL)
(Troy-Oakland,Troy,MI)
(Truckee-Tahoe,Truckee,CA)
(Truth Or Consequences Municipal,Truth Or Consequences,NM)
(Tuba City,Tuba City,AZ)
(Tucker-Guthrie Memorial,Harlan,KY)
(Tucson International,Tucson,AZ)
(Tucumcari Municipal,Tucumcari,NM)
(Tulelake Municipal,Tulelake,CA)
(Tulip City,Holland,MI)
(Tullahoma Regional,Tullahoma,TN)
(Tulsa International,Tulsa,OK)
(Tuluksak,Tuluksak,AK)
(Tunica Municipal,Tunica,MS)
(Tuntutuliak,Tuntutuliak,AK)
(Tununak,Tununak,AK)
(Tupelo Municipal ,Tupelo,MS)
(Turlock Municipal,Turlock,CA)
(Turner,Turner,MT)
(Turner County,Ashburn,GA)
(Turners Falls,Montague,MA)
(Tuscaloosa Municipal,Tuscaloosa,AL)
(Tuscola,Tuscola,IL)
(Tweed-New Haven,New Haven,CT)
(Twentynine Palms,Twentynine Palms,CA)
(Twin Bridges,Twin Bridges,MT)
(Twin City,Loris,SC)
(Twin County,Galax,VA)
(Twin Hills,Twin Hills,AK)
(Tyler Pounds ,Tyler,TX)
(Ugashik,Ugashik,AK)
(Ukiah Municipal,Ukiah,CA)
